; English replacement for the F14.6 Capture the Flag localisation.
; The official payload only ships German text for this file on Linux.
mp_flag_team_a,ALPHA
mp_flag_team_b,BETA
mp_flag_a_flag_name,ALPHA FLAG
mp_flag_b_flag_name,BETA FLAG
mp_flag_a_flag_gate_name,ALPHA FLAG GATE
mp_flag_b_flag_gate_name,BETA FLAG GATE
mp_flag_a_gunstar_name,Alpha Gunstar
mp_flag_b_gunstar_name,Beta Gunstar
mp_flag_a_fighter_name,Alpha Fighter
mp_flag_b_fighter_name,Beta Fighter
mp_flag_a_ring_name,Alpha Ring
mp_flag_b_ring_name,Beta Ring
mp_flag_player_left,: has left the game
mp_flag_player_falling,You are falling off the edge of the world
mp_flag_player_transported,You were transported back to base.
mp_flag_player_stuffed_you,Got you!
mp_flag_player_killed,%s killed %s
mp_flag_flag_returned,Flag returned to base
mp_flag_team_b_captured_flag,Captured by the ALPHA team
mp_flag_player_picked_up_a, picked up the ALPHA flag
mp_flag_player_picked_up_b, picked up the BETA flag
mp_flag_team_a_captured_flag,Captured by the BETA team
mp_flag_team_a_got_b_flag, picked up the BETA flag
mp_flag_team_b_got_a_flag, picked up the ALPHA flag
mp_flag_joined_team_a, joined the ALPHA team
mp_flag_joined_team_b, joined the BETA team
mp_flag_player_won_flag_a,You won the ALPHA flag
mp_flag_player_won_flag_b,You won the BETA flag
mp_flag_team_a_wins,The ALPHA team wins
mp_flag_team_b_wins,The BETA team wins
mp_flag_team_draw,Draw
mp_flag_ammo_power_up,Ammo increased by:
mp_kill_message_1,%s gave %s a beating.
mp_kill_message_2,%s crushed %s.
mp_kill_message_3,%s destroyed %s.
mp_kill_message_4,%s thrashed %s.
mp_bomb_kill_message_1,Ouch, my head!
mp_bomb_kill_message_2,That was too much!
mp_bomb_warning_message,Seconds until detonation:
mp_health_message,Health increased (%%):
mp_speed_message_up,Maximum speed increased (%%):
mp_speed_message_down,Maximum speed reset
mp_station_name,Spondonium
mp_flag_ammo_power_up,Extra weapon
mp_flag_graveyard,Graveyard
