; FILE: Dact1_mission04.csv,
; Key,
; FILE NAME,GERMAN TRANSLATION
a1_m04_name_fighter,Jäger-Standort
a1_m04_name_fighters,Jäger
a1_m04_name_pod,Viel versprechende Frachtkapsel
a1_m04_name_refuse,Müllhalde
a1_m04_name_drone,Drohne
a1_m04_name_gabage,Müllwagen
a1_m04_name_bill,Bill
a1_m04_name_ben,Ben
a1_m04_name_doxer,Doxer
a1_m04_name_crane,Crane
a1_m04_name_psycho,Psycho
a1_m04_name_badger,Badger
a1_m04_name_security,Sicherheitsdienst
a1_m04_name_meeting,Stepson-Treffpunkt
a1_m04_name_jafsmeeting,Jafs-Treffpunkt
a1_m04_name_junk,Schrottplatz

a1_m04_dialogue_stepson_c1_ah_cal,"Hallo Cal! Gut, dass du meine Nachricht erhalten hast. Und, willst du wissen, wo diese neuen Maas Jäger versteckt sind?"
a1_m04_text_player_c1_option_1_yes,Ja.
a1_m04_dialogue_player_c1_option_1_yes,"Ja. Was ist auf eurem 'Ausflug' passiert?"
a1_m04_dialogue_stepson_c1_response_1_we_thought_we_were,"Wir haben die Jäger an der Maas Einrichtung bei Alexander gefunden, aber wir wurden entdeckt und angegriffen, bevor wir näher rankommen konnten. Wir wären fast draufgegangen, konnten aber doch noch entkommen. Vielleicht hast du mehr Glück, aber du brauchst eine Tarnung, wenn du nahe genug an die Jäger rankommen willst, um sie dir zu schnappen."
a1_m04_text_player_c1_option_2_no,Nein.
a1_m04_dialogue_player_c1_option_2_no,"Nee, kein Interesse."
a1_m04_dialogue_stepson_c1_response_2_go_away,"Na, dann hau halt ab!"
a1_m04_dialogue_clay_try_the_junkyard,Mit der Tarnung hat sie Recht. Wir brauchen einen falschen IFF-Code. Vielleicht finden wir was auf dem Schrottplatz.
;,
a1_m04_dialogue_junker_c2_what_do_you_want,"Hau ab, ich hab' zu tun. Oder hast du vielleicht Bares oder ein gutes Angebot? Was willst du?"
a1_m04_text_player_c2_option_1_how_going,Wie geht's?
a1_m04_dialogue_player_c2_option_1_how_going,"Wie geht's, Kumpel? Läuft das Geschäft?"
a1_m04_dialogue_junker_c2_response_1_whats_it_to_you,"Was geht dich das an? Willst wohl Ärger, was?"
a1_m04_text_player_c2_option_2_help_me,Ich brauche einen Maas IFF-Code.
a1_m04_dialogue_player_c2_option_2_help_me,"Hör zu, ich brauche einen Maas IFF-Code."
